entry,target,stop,outcome,days,ret_pct,mae,symbol,sector,pattern,config,date,pole_gain
50636.36,58231.82,48104.55,LOSS,6,-5.0,5.21,BSI,,Triangle Pullback,trend_filter,2025-03-26,5.87
51900.0,59685.0,49305.0,LOSS,1,-5.0,6.17,BSI,,Triangle Pullback,trend_filter,2025-09-05,3.27
48700.0,56005.0,46265.0,LOSS,12,-5.0,5.34,BSI,,Triangle Pullback,trend_filter,2025-09-08,4.22
42089.94,48403.43,39985.44,LOSS,11,-5.0,6.68,NLG,,Flag Pullback,baseline,2024-06-07,3.89
42237.97,48573.66,40126.07,LOSS,10,-5.0,7.01,NLG,,Flag Pullback,baseline,2024-06-10,5.73
42435.34,48800.65,40313.58,LOSS,9,-5.0,7.44,NLG,,Flag Pullback,baseline,2024-06-11,9.74
40461.61,46530.85,38438.53,LOSS,34,-5.0,7.07,NLG,,Flag Pullback,baseline,2024-06-17,13.38
41201.76,47382.02,39141.67,LOSS,24,-5.0,6.35,NLG,,Flag Pullback,baseline,2024-06-18,16.36
41251.1,47438.77,39188.55,LOSS,23,-5.0,6.46,NLG,,Flag Pullback,baseline,2024-06-19,19.0
40658.98,46757.83,38626.03,LOSS,22,-5.0,5.1,NLG,,Flag Pullback,baseline,2024-06-20,16.94
40362.92,46417.36,38344.77,LOSS,30,-5.0,6.85,NLG,,Flag Pullback,baseline,2024-06-21,7.6
40214.89,46247.12,38204.15,LOSS,29,-5.0,6.5,NLG,,Flag Pullback,baseline,2024-06-24,8.13
41053.73,47211.79,39001.04,LOSS,19,-5.0,6.01,NLG,,Flag Pullback,baseline,2024-06-25,7.28
41053.73,47211.79,39001.04,LOSS,18,-5.0,6.01,NLG,,Flag Pullback,baseline,2024-06-26,9.53
41448.47,47665.74,39376.05,LOSS,17,-5.0,6.9,NLG,,Flag Pullback,baseline,2024-06-27,8.33
37303.63,42899.17,35438.45,OPEN,40,6.35,1.59,NLG,,Flag Pullback,baseline,2024-08-05,7.56
38685.24,44488.03,36750.98,LOSS,7,-5.0,5.1,NLG,,Flag Pullback,baseline,2024-08-06,3.95
37599.69,43239.64,35719.7,OPEN,40,5.25,2.36,NLG,,Flag Pullback,baseline,2024-08-08,4.37
38487.87,44261.05,36563.48,OPEN,40,3.85,4.62,NLG,,Flag Pullback,baseline,2024-08-09,5.13
38438.53,44204.31,36516.6,OPEN,40,3.08,4.49,NLG,,Flag Pullback,baseline,2024-08-12,7.48
37846.41,43523.37,35954.09,OPEN,40,4.95,3.0,NLG,,Flag Pullback,baseline,2024-08-13,5.77
39622.77,45566.18,37641.63,LOSS,4,-5.0,5.11,NLG,,Flag Pullback,baseline,2024-10-10,3.02
37698.38,43353.13,35813.46,OPEN,40,-1.83,3.93,NLG,,Flag Pullback,baseline,2024-10-16,3.07
38389.18,44147.56,36469.72,LOSS,20,-5.0,5.66,NLG,,Flag Pullback,baseline,2024-10-17,3.69
28027.06,32231.12,26625.71,LOSS,3,-5.0,9.33,NLG,,Flag Pullback,baseline,2025-04-17,6.99
